Week,Day,Company,Address,Location,Phone,Notes,Email
week 4,Tuesday,West Fraser Mills (NorBord Inc.),2025 RR53,,,"Loading Trailer, Westend Receiving Upstairs...",
week 4,Tuesday,Wapiti Gravel Suppliers,4201-93 Street County Ind. Park,,,"PO # REQUIRED $5.40 @ Bottle, Shop/Office/Asphalt Trailer",
week 4,Tuesday,Jaydie's,Grovedale Hwy #666,,,$5.40 @ Bottle (No new bottles),
week 4,Tuesday,Hillbilly Hauling,Grovedale - Across Jaydie's,,780-882-7176,,
week 4,Tuesday,Clarkson Hall,Evergreen Park,,,,
week 4,Tuesday,Company,Combined Address,,,Please call Mike when go 587-298-6340 so can unlock,
week 4,Tuesday,West Fraser Mills (NorBord),"2025 Range Road 53, Grovedale, AB T0H 1X0",,,,
week 4,Tuesday,Wapiti Gravel Suppliers,"4201 93 Street (County Ind. Park), Grande Prairie, AB T8W 5A9",,,PO NEEDED,
week 4,Tuesday,Jaydie's,"70114 Highway 666, Grovedale, AB T0H 1X0",,,PO NEEDED,
week 4,Tuesday,Hillbilly Hauling,"70115 Highway 666, Grovedale, AB T0H 1X0",,,6 bottles,
week 4,Tuesday,Evergreen Park (Clarkson Hall/Entrec/Casino),"55051 Township Rd 710, Grande Prairie, AB T8W 5A6",,,12 Bottles,
week 4,Tuesday,Dunes on 17 Fire Station,"8111 Resources Road, County of Grande Prairie, AB T8W 3A7",,,10 bottles (4 to Turf Care Bldg; 2 to Clubhouse),
week 4,Tuesday,Roska PTS,"3601 98 Street (County Ind. Park), Grande Prairie, AB T8W 5A8",,,11 bottles starting May 5/22 - Then call in base afar,
week 4,Tuesday,Roska 666 (Blue & White Bldg),"70120 Highway 666, Grovedale, AB T0H 1X0",,,Bi weekly always make sure they have 4 full ones,
week 4,Tuesday,International Paper (Admin Bldg),"53024A Resources Road, Grande Prairie, AB T8V 6V4",,,11 bottles weekly,
week 4,Tuesday,Dunvegan Gardens (GP) Ltd,"7110 348 Hwy 40, Grande Prairie, AB T8W 5A4",,,,
week 4,Tuesday,GP Golf & Country Club,"711040 Resources Road, Grande Prairie, AB T8V 3A7",,,10 bottles,
week 4,Tuesday,Sukhu Balviran - GP30 Marketing,"53082 Township Road 712, Grande Prairie, AB T8X 4A3",,,6 bottles,
week 4,Tuesday,Titan Energy,"711038A Hwy 40, County of Grande Prairie, AB T8W 5B6",,780-532-6637 ,- Lewis or anyone to unlock doors,
week 4,Tuesday,Sunway Logging,"Unit 1, 6351 TWP 695A, Grovedale, AB T0H 1X0",,,,
week 4,Tuesday,Aurora Energy Controls,"9802 42 Avenue, County of Grande Prairie, AB T8W 5A1",,,,
week 4,Tuesday,2127722 Alberta Ltd (Chris London),"Unit 6, 64031 Township Rd 701A, Grovedale, AB T0H 1X0",,,EVERY 3 WEEKS CHECK LAST DELIVERY,
week 4,Tuesday,Nitehawk Ski Hill,"6352 Township Rd 702A, Grovedale, AB T0H 1X0",,,,
,,Gray Electric,"705078 Range Road 51, County of Grande Prairie, AB T8W 5G8",,,,
,,PGI Processing,"LSD 07-35-067-07 W6M, Grovedale, AB T0H 1X0",,,,
,,Via Separators (Kodak Bldg),"11402 98 Avenue, Grande Prairie, AB T8V 5S5",,,,
